"","ID","DATE","TIME","LAT","LON","VMAX","PER","ADAY","SPDX","PSLV","VPER","PC20","GSTD","POT","SHDC","T200","T250P","EPOS","RHMD","TWAT","Z850","D200","LSHDC","VSHDC","POT2","RHCN","SDIR","SHGC","POT_AVG","SHDC_AVG","T200_AVG","T250P_AVG","EPOS_AVG","RHMD_AVG","TWAT_AVG","Z850_AVG","D200_AVG","LSHDC_AVG","VSHDC_AVG","POT2_AVG","RHCN_AVG","SDIR_AVG","SHGC_AVG","RHLORI","SBTRI","PCRI30","RHCRI","RII30","RII35","RII40"
"AL011982.11","AL011982","820605",0,25.1,84.1,30,-15,3e-05,2.85317,735,-450,35,546,71.9351,14.35,-52.25,0,15.2,39,-0.5,-16,-2.5,6.09981,430.5,5174.6582,0,-1.83938,12.84518,71.72802,15.74,-52.74,0,16.12,33.6,-0.9,-15,-18.8,6.72942,472.20001,5144.90869,0,-1.39184,11.69709,56.2,NA,NA,18.4,NA,NA,NA
"AL011982.12","AL011982","820605",6,25.2,84,25,-15,3e-05,0.66913,796,-375,25,480.00003,76.90717,17.1,-53,0,14.9,35.5,-0.4,-22.5,-16,7.29508,427.5,5914.71191,0,-1.16501,15.45108,76.43162,17.78,-52.88,0,16.46,30,-0.4,-13.8,-23.4,7.62368,444.50003,5841.79199,0,-1.02684,11.11634,53,NA,NA,15.8,NA,NA,NA
"AL011982.13","AL011982","820605",12,25.3,83.9,25,-5,3e-05,0.66913,778,-125,22,490,76.94925,15.55,-53.3,0,15.85,31.5,0,-19.5,-31,6.65548,388.75003,5921.18701,0,-0.82757,14.72868,76.25372,20.76,-53.14,0,16.6,27,0,-16,-33,8.92173,519,5814.63037,0,-0.47731,10.89561,50.2,NA,NA,12.4,NA,NA,NA
"AL011982.14","AL011982","820605",18,25.4,83.6,25,0,3e-05,1.74924,817,0,28,467.50003,76.42917,15.9,-52.7,0,17.75,28,0,-8,-28.5,6.83485,397.5,5841.41797,0,-1.44272,8.43326,76.08926,21.4,-52.975,0,17.075,25.25,0,-13.25,-33.25,9.20771,535,5789.57617,0,-0.49788,9.63737,48,NA,NA,11.25,NA,NA,NA
"AL011982.15","AL011982","820606",0,25.5,83.3,25,0,4e-05,2.81908,796,0,25,475,75.67841,20.9,-52.8,0,17.75,25,0,-6,-27.5,8.99754,522.5,5727.22217,0,-0.77203,5.57536,75.79004,24.23333,-53.03334,0,17.1,24,0,-13.66667,-34.33333,10.43256,605.83331,5744.12988,0,-0.2438,8.34023,47,NA,NA,10.66667,NA,NA,NA
"AL011982.16","AL011982","820606",6,25.5,83,25,0,4e-05,2.95442,746,0,22,487.5,75.74935,26.9,-53.25,0,16.4,22.5,0,-18.5,-38,11.58057,672.5,5737.96436,0,0.44696,10.84148,75.74935,26.9,-53.25,0,16.4,22.5,0,-18.5,-38,11.58057,672.5,5737.96436,0,0.44696,10.84148,46,NA,NA,8,NA,NA,NA
"AL011982.17","AL011982","820606",12,25.5,82.6,20,-5,4e-05,3,746,-100,8,418,81.01331,30.9,-53.5,0,15.8,22,0,-29,-48,13.30258,618,6563.15576,0,0.81266,13.86996,81.01331,30.9,-53.5,0,15.8,22,0,-29,-48,13.30258,618,6563.15576,0,0.81266,13.86996,46,NA,NA,6,NA,NA,NA
"AL021982.1","AL021982","820618",0,25.8,86.4,25,0,0.00039,16.3201,533,0,50,490,115.49835,28.3,-51.05,0,12.1,52,0,74,64,12.6378,707.5,13339.86914,0,-0.27949,7.87686,106.81581,24.4,-51.56001,0,11.58,51,0,54.2,63,11.82273,610,11409.61719,0,16.28305,7.66636,63.6,NA,NA,19.4,NA,NA,NA
"AL021982.2","AL021982","820618",6,27.1,84.6,30,0,0.00039,16.3201,521,0,58,567,107.26675,21.5,-51.4,0,11.4,51.5,0.3,61,52.5,9.95941,645,11506.15625,0,9.61632,9.31757,97.09355,22.46,-51.96,0,10.68,49.4,0.2,47.2,66.4,11.46307,673.80005,9427.1582,0,27.83338,4.99859,62.8,NA,NA,13,NA,NA,NA
"AL021982.3","AL021982","820618",12,28.7,82.8,40,15,0.00039,16.34923,549,600,73,656,89.67911,18.1,-51.9,0,11.25,52,1.1,44.5,58.5,9.15687,724,8042.34229,0,24.70566,8.43635,78.4406,20.22,-52.52,0,9.4,48.4,0.4,38.4,69.6,10.89277,808.79999,6152.92725,0,38.20754,3.52937,62.8,NA,NA,8.2,NA,NA,NA
"AL021982.4","AL021982","820618",18,31.4,80.3,60,0,0.00039,19.02578,620,0,88,888,61.20125,21.6,-51.95,0,11.45,50,-1.6,42,69.5,11.41979,1296,3745.59277,0,35.50425,2.42952,48.30263,22.34,-52.74,0,8.62,48.4,-1.3,43,72.4,12.50115,1340.40002,2333.1438,0,46.30845,1.51452,63,NA,NA,7.2,NA,NA,NA
"AL021982.5","AL021982","820619",0,32.5,79.2,60,0,0.00047,15.73308,639,0,85,906,58.62799,23.25,-52.5,0,9.45,45.5,0.4,32,79,12.75884,1395,3437.24121,0,43.52538,0.92129,39.23037,24.58,-52.94,-0.08,7.12,48,1.8,52,72.6,14.45065,1474.80005,1539.02185,0,52.022,2.44291,63.8,NA,NA,6,NA,NA,NA
"AL021982.6","AL021982","820619",6,33.9,77.8,60,0,0.00047,10.28464,780,0,72,984,47.06033,22.2,-53.45,0,6.65,45.5,0.5,34.5,80.5,12.56679,1332,2214.67432,0,51.75069,0.2176,29.92152,29.2,-53,-0.26,4.88,51,2,74,70.8,18.13841,1752,895.29712,0,56.97393,2.03287,65.8,NA,NA,2.4,NA,NA,NA
"AL021982.7","AL021982","820619",12,35.3,76,60,0,0.00047,12.95801,763,0,74,846,30.2894,21.2,-53.35,0,6.25,49,-0.6,50.5,67.5,12.55461,1272,917.44763,0,56.15604,0.60739,20.4268,31.48,-53.14,-0.58,3.34,53.6,2.9,93.8,66.6,20.48091,1888.79993,417.254,0,59.18877,1.99687,66.6,NA,NA,0,NA,NA,NA
"AL021982.8","AL021982","820619",18,37.1,73,60,0,0.00047,19.42869,750,0,72,750,21.65353,29,-52.95,-0.2,5.55,51,1.5,78.5,66,18.05157,1740,468.87552,0,59.55911,5.7702,16.63629,34.725,-52.975,-0.725,2.775,55.25,3.5,107.5,65,22.92551,2083.50024,276.7662,0,60.15456,2.81672,67.5,NA,NA,0,NA,NA,NA
"AL021982.9","AL021982","820620",0,39.5,70,60,0,0.00057,24.15076,688,0,66,678,15.24847,38.85,-52.6,-0.65,2.1,56.5,0.6,119.5,65.5,25.57462,2331,232.51573,0,61.81588,3.56335,13.85172,38.33333,-53,-0.96667,1.4,56.66667,2,122.66666,66,25.76427,2300,191.87022,0,60.96059,2.95479,68.33334,NA,NA,0,NA,NA,NA
"AL021982.10","AL021982","820620",6,42.5,65.5,60,0,0.00057,28.52287,667,0,59,486.00003,11.61904,40.5,-53,-1.25,0,59.5,1.4,136.5,64,27.8345,2430,135.00212,0,60.75,-0.09383,11.61904,40.5,-53,-1.25,0,59.5,1.4,136.5,64,27.8345,2430,135.00212,0,60.75,-0.09383,69,NA,NA,0,NA,NA,NA
"AL021982.11","AL021982","820620",12,44.5,60,60,0,0.00057,37.30675,538,0,61,360,11.05824,37.4,-53.8,-1.6,0,57,0,129,67,26.21366,2244,122.28474,0,59.25,1.62356,11.05824,37.4,-53.8,-1.6,0,57,0,129,67,26.21366,2244,122.28474,0,59.25,1.62356,66,NA,NA,0,NA,NA,NA
"AL031982.1","AL031982","820828",12,13.7,22.2,30,0,0.8288,-4.6359,527,0,61,480,87.38885,3.75,-51.4,0,8.1,64,-0.4,51.5,26.5,0.89745,112.5,7636.81055,0,-16.67687,8.92929,88.57458,6.36,-51.48,0,7.76,66.6,-1.9,30.2,12.6,1.57808,190.79999,7845.45703,0,-5.18428,6.76818,70,NA,NA,1,NA,NA,NA
"AL031982.2","AL031982","820828",18,13.9,22.7,35,0,0.8288,-4.6359,537,0,67,532,83.3909,7.15,-51.25,0,8,65.5,-0.6,34.5,8.5,1.73234,250.24998,6954.04199,0,4.0949,5.99173,83.54227,7.34,-51.5,0,7.7,67,-1.8,15.6,4.8,1.84728,256.89999,6979.31152,0,-3.48779,4.93424,70,NA,NA,0.2,NA,NA,NA
"AL031982.3","AL031982","820829",0,14.1,23.6,35,5,0.85214,-6.72881,530,175,60,539,84.64588,6.9,-51.4,0,7.55,68.5,-0.5,22.5,0,1.69783,241.5,7164.92529,0,5.89491,5.90988,83.12559,7.94,-51.66,0,7.6,66.8,-1.2,8.4,1,2.04339,277.89999,6909.86328,0,-13.82611,4.85872,69.4,NA,NA,0,NA,NA,NA
"AL031982.4","AL031982","820829",6,14.5,24.9,40,5,0.85214,-10.57384,537,200,67,596,79.29512,14,-51.65,0,7.5,69.5,0,10,5,3.55827,560,6287.71631,0,9.78432,2.92735,76.87132,12.68,-51.8,0,7.9,66.2,0,7.4,-3,3.3421,507.20001,5909.2002,0,-9.12783,2.36869,69.2,NA,NA,0,NA,NA,NA
"AL031982.5","AL031982","820829",12,14.9,26.3,45,10,0.85214,-13.38822,553,450,77,634.5,73.0714,8.7,-51.75,0,7.5,66.5,-0.3,-4,3.5,2.25994,391.50003,5339.42871,0,-14.17402,3.14211,70.33374,11.78,-51.9,0,8.22,63,-0.7,5.4,-11.4,3.20147,530.10004,4946.83496,0,-30.97243,3.44596,67.8,NA,NA,0,NA,NA,NA
"AL031982.6","AL031982","820829",18,15.3,27.7,45,5,0.85214,-13.45762,580,225,78,616.5,71.26637,7.7,-51.85,0,7.7,64.5,0,-3,-2.5,2.06072,346.5,5078.89502,0,-37.83461,4.15563,68.6451,13.22,-51.92,0,8.64,60.6,-1.2,5.4,-17.4,3.67935,594.90002,4712.14941,0,-34.42955,2.85617,67.4,NA,NA,0,NA,NA,NA
"AL031982.7","AL031982","820830",0,15.7,29.1,50,5,0.8742,-13.45762,559,250,81,665,64.21354,11.6,-52,0,8.5,63.5,0,14,-11,3.17568,580,4123.37842,0,-51.64417,4.50772,62.07102,14.8,-52.1,0,9.08,58.6,-1.4,6.2,-17.2,4.18014,740,3852.81177,0,-35.42403,2.5584,66.8,NA,NA,0,NA,NA,NA
"AL031982.8","AL031982","820830",6,16,30.6,50,5,0.8742,-13.5841,545,250,75,680,62.66623,16.45,-52,0,9.1,59,-0.4,15,-31,4.58018,822.50006,3927.0564,0,-36.97088,2.42404,61.12974,16.62,-52.24,0,9.48,56.6,-1.2,6.6,-15.8,4.76134,831.00006,3736.84497,0,-31.77261,1.2428,66.4,NA,NA,0,NA,NA,NA
"AL031982.9","AL031982","820830",12,16.3,32.1,50,0,0.8742,-14.67218,608,0,70,695,61.22954,18.05,-51.95,0,9.35,55.5,-0.8,5,-31,5.12553,902.50006,3749.0564,0,-22.88126,1.57581,60.74656,18.18,-52.32,0,9.76,54,-1.2,2.8,-12.8,5.31854,909,3690.14453,0,-27.90665,0.64386,65.2,NA,NA,0,NA,NA,NA
"AL031982.10","AL031982","820830",18,16.7,33.6,55,5,0.8742,-14.5544,661,275,75,742.5,54.91463,19.7,-52.25,0,9.65,55.5,0,-2,-11,5.70576,1083.5,3015.61621,0,-19.18774,0.87999,55.11438,22.64,-52.38,0,10.12,53.2,0,3.2,0,6.76573,1245.19995,3037.59497,0,-22.46834,1.39205,64.8,NA,NA,0.2,NA,NA,NA
"AL031982.11","AL031982","820831",0,17,35,55,5,0.89484,-13.5841,607,275,78,748,54.97797,19.05,-52.65,0,9.8,54.5,0,0,1.5,5.60329,1047.75,3022.57666,0,-22.9169,0.48374,54.89298,23.92,-52.52,0,10.4,52.8,0,6.8,9.8,7.28215,1315.59998,3013.2395,0,-23.71286,1.22425,64,NA,NA,0.6,NA,NA,NA
"AL031982.12","AL031982","820831",6,17.2,36.4,60,5,0.89484,-13.74275,649,300,80,798,50.90237,22.05,-52.55,0,10.2,52,0,5.5,0,6.61974,1323,2591.05176,0,-25.89451,0.5152,49.77864,27.1,-52.54,0,10.64,52.8,0,8.6,13.6,8.39161,1626,2477.91309,0,-23.9345,0.73553,63.4,NA,NA,1.6,NA,NA,NA
"AL031982.13","AL031982","820831",12,17.7,37.8,60,5,0.89484,-13.52292,661,300,77,816,50.12786,26.8,-52.35,0,10.7,50.5,0,6.5,8.5,8.22196,1608,2512.80249,0,-23.92838,2.2781,49.20506,29.12,-52.66,0,11.04,52,0,3.8,16.8,9.14986,1747.20007,2421.13745,0,-21.76832,-0.12901,62,NA,NA,2.6,NA,NA,NA
"AL031982.14","AL031982","820831",18,18,39,60,0,0.89484,-12.36369,681,0,73,858,49.09561,28.8,-52.45,0,10.95,52.5,0,15,25.5,8.96895,1728,2410.37915,0,-23.52544,2.38374,48.63155,29.18,-52.86,0,11.48,52.4,0,-1.4,20.2,9.27233,1750.79993,2365.02734,0,-19.7424,-0.55093,61.4,NA,NA,4.6,NA,NA,NA
"AL031982.15","AL031982","820901",0,18.3,40,60,0,0.91393,-10.57384,641,0,72,870,49.07523,30.85,-52.65,0,10.95,54.5,0,11.5,23,9.77045,1850.99988,2408.37842,0,-22.85314,-0.76132,48.70329,27.06,-53.14,0,11.86,52.6,0,-4.2,15,8.69305,1623.6001,2372.01074,0,-20.40751,-1.45699,60.8,NA,NA,6.4,NA,NA,NA
"AL031982.16","AL031982","820901",6,18.6,40.9,60,0,0.91393,-8.55948,649,0,66,912,48.25815,32.05,-53,0,11.4,52.5,0,-7.5,19,10.27257,1923,2328.84888,0,-18.05556,-2.89942,49.10808,25.84,-53.28,0,12.18,52,0,-9.2,3.4,8.3892,1550.40002,2411.60327,0,-20.52599,-1.34993,60.2,NA,NA,8.6,NA,NA,NA
"AL031982.17","AL031982","820901",12,18.8,41.7,60,0,0.91393,-7.65041,664,0,67,912,48.03464,27.25,-53.35,0,12.3,51,0,-19.5,16.5,8.82156,1635,2307.32642,0,-15.41427,-2.70094,49.73537,25.42,-53.48,0,12.68,50.2,0,-12.4,-0.8,8.37022,1525.20007,2473.60669,0,-21.71231,-1.44652,59,NA,NA,10.2,NA,NA,NA
"AL031982.18","AL031982","820901",18,19,42.4,60,0,0.91393,-6.72881,692,0,69,888,48.87346,21.65,-53.55,0,12.75,52,0,-13.5,4,7.07994,1299.00012,2388.61499,0,-20.52636,-1.04184,50.97057,25.48,-53.5,0,13.14,50,0,-13.8,-7,8.50041,1528.79993,2597.99854,0,-22.97823,-1.17159,59.4,NA,NA,12,NA,NA,NA
"AL031982.19","AL031982","820902",0,19.2,43.2,55,-5,0.93136,-6.72881,641,-275,67,825,55.28696,19.4,-53.5,0,12.7,51.5,0.4,-4.5,-16.5,6.4145,1067.00012,3056.64844,0,-32.37746,1.08131,57.5142,24.72,-53.5,0,13.32,49,-1,-10,-8,8.33642,1359.59998,3307.88306,0,-28.38002,-0.40757,59.2,NA,NA,13.8,NA,NA,NA
"AL031982.20","AL031982","820902",6,19.4,44.1,45,-15,0.93136,-7.76234,712,-675,52,738,66.65541,26.75,-53.5,0,13,48.5,0,-9,-16.5,8.96337,1203.75,4442.94385,0,-26.11515,-0.73517,69.5652,27.24,-53.34,0,13.36,48,0,-8.4,-6,9.24932,1225.80005,4839.31738,0,-23.92217,-1.07439,59,NA,NA,17,NA,NA,NA
"AL031982.21","AL031982","820902",12,19.7,45.1,35,-20,0.93136,-8.65133,681,-700,36,658.00006,77.91435,31.15,-53.55,0,13.8,47.5,0,-19,-7,10.5506,1090.25,6070.64648,0,-24.18616,-2.45358,81.71747,27.2,-53.3,0,13.58,46.4,0,-3,-0.4,9.27862,952,6677.74463,0,-23.41784,-1.67387,58,NA,NA,20.4,NA,NA,NA
"AL031982.22","AL031982","820902",18,19.9,46.2,30,-15,0.93136,-9.70293,704,-450,33,576,84.9817,28.3,-53.4,0,13.9,48,0,-13.5,-1.5,9.67523,849,7221.89014,0,-21.3048,-1.35018,88.87689,23.74,-53.22,0,13.74,46,0,-0.2,2,8.12647,712.20001,7899.10205,0,-22.54463,-0.25149,58,NA,NA,24.4,NA,NA,NA
"AL031982.23","AL031982","820903",0,20.1,47.4,30,-5,0.94701,-10.83286,718,-150,40,564.00006,87.86005,26.05,-53.15,0,13.3,47,0,0,6.5,8.95219,781.5,7719.3877,0,-22.88622,-0.79882,90.72156,19.84,-53.2,0,13.66,45.2,0,4,4.6,6.79901,595.20001,8230.40137,0,-25.64733,0.45101,57.2,NA,NA,29.4,NA,NA,NA
"AL031982.24","AL031982","820903",6,20.1,48.6,30,0,0.94701,-10.95813,742,0,42,561,90.79515,23.85,-53,0,13.35,45,0,13,2.5,8.17845,715.5,8243.75977,0,-23.8577,-1.53291,92.09298,18.42,-53.06001,0,13.66,44.6,0,0.6,3,6.29862,552.60004,8481.11719,0,-28.53894,1.29783,57,NA,NA,34.2,NA,NA,NA
"AL031982.25","AL031982","820903",12,20,49.8,30,0,0.94701,-10.98493,708,0,44,555,92.43464,18,-53.2,0,13.95,43.5,0,11.5,3.5,6.15626,540,8544.16211,0,-22.6713,1.32206,93.19106,16.26,-53.12,0,13.78,43.6,0,1.4,6.6,5.54127,487.80002,8684.57422,0,-28.97776,1.58764,55.8,NA,NA,37.8,NA,NA,NA
"AL031982.26","AL031982","820903",18,20,51,30,0,0.94701,-10.98493,714,0,49,543,92.92459,13.45,-53.3,0,14,44.5,0.4,-1.5,5.5,4.59017,403.50003,8634.97949,0,-29.49839,2.70277,93.92964,15.46,-53.08,0,13.78,44.4,1,-0.8,12.8,5.25243,463.80002,8822.77734,0,-31.67484,1.88563,56,NA,NA,41,NA,NA,NA
"AL031982.27","AL031982","820904",0,19.9,51.9,30,0,0.96079,-9.9863,609,0,50,540,93.02196,15.95,-53,0,13.7,44.5,-0.5,-11.5,1,5.42897,478.5,8653.08496,0,-37.39868,2.10792,94.81212,15.1,-52.98,0,13.64,44,0.9,4.6,16.4,5.11212,453,8989.33789,0,-36.17315,2.26703,55,NA,NA,44.6,NA,NA,NA
"AL031982.28","AL031982","820904",6,19.9,52.9,30,0,0.96079,-8.98767,617,0,44,555,94.03381,18.25,-52.95,0,13.6,43,0.3,-6.5,11.5,6.1982,547.5,8842.35645,0,-33.17464,1.86818,96.03996,16.48,-52.86,0,13.58,43,0.4,6.2,20.4,5.55091,494.39999,9223.67285,0,-37.06302,3.80055,54.2,NA,NA,48.2,NA,NA,NA
"AL031982.29","AL031982","820904",12,19.8,53.8,30,0,0.96079,-8.98767,608,0,48,555,95.3868,15.25,-53.05,0,13.65,44.5,0.8,9.5,27,5.15417,457.5,9098.64062,0,-31.68195,0.33939,97.90308,15.48,-53.04,0,13.62,42.4,0,14.8,22,5.18591,464.40002,9585.0127,0,-36.25645,4.27829,53.4,NA,NA,51.6,NA,NA,NA
"AL031982.30","AL031982","820904",18,19.7,54.9,30,0,0.96079,-8.95071,685,0,50,546,96.48726,13.55,-52.85,0,13.6,44.5,0.3,19.5,28,4.5568,406.5,9309.79102,0,-37.86634,3.36486,99.36137,13.98,-53.06,0,13.68,42.6,-0.8,19,19,4.66894,419.40002,9872.68262,0,-38.4918,5.50731,53.6,NA,NA,55,NA,NA,NA
"AL031982.31","AL031982","820905",0,19.6,55.9,30,0,0.9726,-9.94523,687,0,51,543,98.20036,15.95,-52.75,0,13.5,41,-1,16,24.5,5.31944,478.50003,9643.31152,0,-42.96883,7.48859,100.51913,13.66,-53.22,0,13.96,41,-1.1,23.8,16.4,4.56107,409.80002,10104.09668,0,-42.0224,6.44909,52.4,NA,NA,58.4,NA,NA,NA
"AL031982.32","AL031982","820905",6,19.4,57,25,-5,0.9726,-9.8769,712,-125,40,480.00003,105.74933,16.9,-53.15,0,13.65,40.5,-0.1,14,15,5.61343,422.50003,11182.9209,0,-37.60692,7.08608,106.63589,14,-53.32,0,14.18,40.2,-0.1,21.8,17,4.68485,350.00006,11371.21387,1.6,-42.24516,6.44636,52.2,NA,NA,61.6,NA,NA,NA
"AL031982.33","AL031982","820905",12,19.4,58.3,25,-5,0.9726,-10.95815,672,-125,43,477.5,107.3374,12,-53.45,0,13.85,42,0,25.5,8,3.99327,300,11521.31836,0.5,-36.74659,6.1351,107.34744,13.22,-53.54,0,14.48,39.8,0,29,18.8,4.45514,330.49997,11523.47363,3.4,-39.71704,5.78528,51.8,NA,NA,63.4,NA,NA,NA
"AL031982.34","AL031982","820905",18,19.5,59.7,30,5,0.9726,-12.99208,838,150,56,531,101.92697,10.95,-53.5,0,14.5,41,0,32,13,3.67551,328.50003,10389.10742,2.5,-50.18198,4.48872,102.34901,11.025,-53.525,0,14.65,39.5,-0.1,30.5,21.75,3.72667,330.75003,10475.32031,4.25,-42.31249,3.87356,51.5,NA,NA,64.25,NA,NA,NA
"AL031982.35","AL031982","820906",0,19.7,61,30,5,0.98238,-12.90308,792,150,55,546,102.17351,11.85,-53.5,0,14.85,38.5,-0.6,26.5,23,4.0038,355.5,10439.42578,6,-46.4109,3.61065,102.35411,11.53333,-53.6,0,14.9,38.33333,-0.1,31.33333,26,3.91185,346,10476.36426,5.66666,-40.04554,3.30495,50.66667,NA,NA,65.66666,NA,NA,NA
"AL031982.36","AL031982","820906",6,19.8,62.3,30,0,0.98238,-11.91054,823,0,55,543,102.77106,11.1,-53.55,0,14.8,38,0.5,29,30.5,3.77765,333,10561.89062,6,-34.443,3.25819,102.77106,11.1,-53.55,0,14.8,38,0.5,29,30.5,3.77765,333,10561.89062,6,-34.443,3.25819,51,NA,NA,66,NA,NA,NA
"AL031982.37","AL031982","820906",12,20,63.6,25,-5,0.98238,-11.91054,742,-125,45,482.50003,107.71532,14.9,-53.8,0,15,38,0,41,32,5.09602,372.5,11602.58984,5,-30.59259,5.23124,107.71532,14.9,-53.8,0,15,38,0,41,32,5.09602,372.5,11602.58984,5,-30.59259,5.23124,51,NA,NA,65,NA,NA,NA
"AL051982.1","AL051982","820909",0,26.2,91,25,0,0.99889,-5.92612,654,0,34,522.5,113.57971,18.2,-53,0,12.6,49,0.8,33,28.5,8.04851,455.00003,12900.35059,0,-1.09141,-4.77837,112.23764,12.64,-53.2,0,13.02,46.8,-0.4,23.4,18.4,5.62253,316,12597.28809,0,0.08958,-4.2811,60.8,NA,NA,53,NA,NA,NA
"AL051982.2","AL051982","820909",6,26.3,91.7,25,0,0.99889,-5.92612,686,0,36,517.5,113.20181,12.55,-53.5,0,11.25,48,-0.2,25,17,5.56687,313.74997,12814.65039,0,-0.47757,-6.87008,111.50656,11,-53.18,0,12.52,45,-0.4,20.2,15.4,4.92317,274.99997,12433.71289,0,0.85071,-4.26493,60,NA,NA,54.6,NA,NA,NA
"AL051982.3","AL051982","820909",12,26.4,92.3,25,0,0.99889,-5.90883,692,0,38,505.00003,111.62677,6.75,-53.55,0,12.65,46,0.1,15.5,10,3.00952,168.75,12460.53613,0.5,0.28367,-4.20033,110.70328,9.38,-53.34,0,12.34,42.8,-0.9,9.8,6.8,4.23294,234.5,12255.21582,0,1.27122,-3.88146,59.2,NA,NA,55.8,NA,NA,NA
"AL051982.4","AL051982","820909",18,26.6,93,30,5,0.99889,-5.82176,637,150,49,570,105.4039,9.3,-53,0,14.35,44,-1.1,18,15.5,4.18483,279,11109.98242,0,1.42958,-2.35385,104.91548,9.54,-53.16,0,13.16,41.2,-1.1,10.8,7.4,4.34602,286.20001,11007.25781,0,2.9998,-2.96631,57.8,NA,NA,54,NA,NA,NA
