volcano_number,volcano_name,eruption_number,eruption_category,area_of_activity,vei,start_year,start_month,start_day,evidence_method_dating,end_year,end_month,end_day,latitude,longitude,country,duration
341040,Colima,22323,Confirmed Eruption,NA,NA,2019.0,5.0,11.0,Historical Observations,2019.0,7.0,12.0,19.514,-103.62,Mexico,62 days
282110,Asosan,22317,Confirmed Eruption,NA,NA,2019.0,4.0,16.0,Historical Observations,2020.0,4.0,17.0,32.884,131.104,Japan,367 days
300260,Klyuchevskoy,22310,Confirmed Eruption,NA,NA,2019.0,4.0,9.0,Historical Observations,2019.0,7.0,2.0,56.056,160.642,Russia,84 days
352090,Sangay,22312,Confirmed Eruption,NA,NA,2019.0,3.0,26.0,Historical Observations,2020.0,4.0,17.0,-2.005,-78.341,Ecuador,388 days
344020,San Cristobal,22311,Confirmed Eruption,NA,NA,2019.0,3.0,4.0,Historical Observations,2019.0,3.0,4.0,12.702,-87.004,Nicaragua,0 days
233020,"Fournaise, Piton de la",22307,Confirmed Eruption,NA,NA,2019.0,2.0,18.0,Historical Observations,2019.0,3.0,10.0,-21.244,55.708,France,20 days
263310,Tengger Caldera,22306,Confirmed Eruption,Bromo,2.0,2019.0,2.0,18.0,Historical Observations,2019.0,7.0,28.0,-7.942,112.95,Indonesia,160 days
300130,Karymsky,22309,Confirmed Eruption,NA,NA,2019.0,2.0,16.0,Historical Observations,2019.0,9.0,24.0,54.049,159.443,Russia,220 days
345040,Poas,22303,Confirmed Eruption,NA,NA,2019.0,2.0,7.0,Historical Observations,2019.0,9.0,30.0,10.2,-84.233,Costa Rica,235 days
261080,Sinabung,22316,Confirmed Eruption,NA,NA,2019.0,2.0,6.0,Historical Observations,2019.0,6.0,9.0,3.17,98.392,Indonesia,123 days
256010,Tinakula,22313,Confirmed Eruption,NA,2.0,2018.0,12.0,8.0,Historical Observations,2020.0,4.0,11.0,-10.386,165.804,Solomon Islands,490 days
357040,Planchon-Peteroa,22297,Confirmed Eruption,NA,1.0,2018.0,11.0,7.0,Historical Observations,2019.0,5.0,7.0,-35.223,-70.568,Chile,181 days
351020,"Ruiz, Nevado del",22298,Uncertain Eruption,NA,NA,2018.0,10.0,26.0,Historical Observations,2018.0,10.0,26.0,4.892,-75.324,Colombia,0 days
282050,Kuchinoerabujima,22296,Confirmed Eruption,NA,3.0,2018.0,10.0,21.0,Historical Observations,2019.0,2.0,3.0,30.443,130.217,Japan,105 days
268060,Gamalama,22295,Confirmed Eruption,NA,1.0,2018.0,10.0,4.0,Historical Observations,2018.0,10.0,6.0,0.8,127.33,Indonesia,2 days
266030,Soputan,22293,Confirmed Eruption,NA,3.0,2018.0,10.0,2.0,Historical Observations,2018.0,12.0,16.0,1.112,124.737,Indonesia,75 days
290200,Ketoi,22287,Uncertain Eruption,NA,1.0,2018.0,9.0,21.0,Historical Observations,2018.0,9.0,21.0,47.35,152.475,Russia,0 days
290240,Sarychev Peak,22288,Confirmed Eruption,NA,2.0,2018.0,9.0,8.0,Historical Observations,2018.0,10.0,15.0,48.092,153.2,Russia,37 days
311060,Semisopochnoi,22289,Confirmed Eruption,NA,1.0,2018.0,9.0,8.0,Historical Observations,2018.0,10.0,31.0,51.93,179.58,United States,53 days
290390,Alaid,22281,Confirmed Eruption,NA,1.0,2018.0,8.0,20.0,Historical Observations,2018.0,8.0,21.0,50.861,155.565,Russia,1 days
352090,Sangay,22283,Confirmed Eruption,NA,2.0,2018.0,8.0,8.0,Historical Observations,2018.0,12.0,7.0,-2.005,-78.341,Ecuador,121 days
345020,Rincon de la Vieja,22282,Confirmed Eruption,NA,1.0,2018.0,7.0,28.0,Historical Observations,2019.0,6.0,11.0,10.83,-85.324,Costa Rica,318 days
353050,"Negra, Sierra",22279,Confirmed Eruption,Summit crater and NNW flank,2.0,2018.0,6.0,26.0,Historical Observations,2018.0,8.0,23.0,-0.83,-91.17,Ecuador,58 days
344040,Telica,22277,Confirmed Eruption,NA,1.0,2018.0,6.0,21.0,Historical Observations,2018.0,8.0,15.0,12.606,-86.84,Nicaragua,55 days
262000,Krakatau,22275,Confirmed Eruption,NA,3.0,2018.0,6.0,18.0,Historical Observations,2020.0,4.0,17.0,-6.102,105.423,Indonesia,669 days
263250,Merapi,22264,Confirmed Eruption,NA,3.0,2018.0,5.0,11.0,Historical Observations,2020.0,4.0,17.0,-7.54,110.446,Indonesia,707 days
300130,Karymsky,22265,Confirmed Eruption,NA,3.0,2018.0,4.0,28.0,Historical Observations,2018.0,9.0,30.0,54.049,159.443,Russia,155 days
261140,Marapi,22262,Confirmed Eruption,Verbeek Crater,2.0,2018.0,4.0,27.0,Historical Observations,2018.0,5.0,2.0,-0.38,100.474,Indonesia,5 days
344020,San Cristobal,22266,Confirmed Eruption,NA,1.0,2018.0,4.0,22.0,Historical Observations,2018.0,4.0,22.0,12.702,-87.004,Nicaragua,0 days
261170,Kerinci,22274,Confirmed Eruption,NA,1.0,2018.0,4.0,21.0,Historical Observations,2020.0,4.0,17.0,-1.697,101.264,Indonesia,727 days
223020,Nyamuragira,22315,Confirmed Eruption,Summit caldera,0.0,2018.0,4.0,18.0,Historical Observations,2020.0,4.0,7.0,-1.408,29.2,DR Congo,720 days
233020,"Fournaise, Piton de la",22261,Confirmed Eruption,NA,0.0,2018.0,4.0,3.0,Historical Observations,2018.0,11.0,1.0,-21.244,55.708,France,212 days
263200,Dieng Volcanic Complex,22263,Confirmed Eruption,Sileri Crater,1.0,2018.0,4.0,1.0,Historical Observations,2018.0,4.0,1.0,-7.2,109.879,Indonesia,0 days
282090,Kirishimayama,22257,Confirmed Eruption,Shinmoedake,3.0,2018.0,3.0,1.0,Historical Observations,2018.0,6.0,27.0,31.934,130.862,Japan,118 days
352090,Sangay,22259,Confirmed Eruption,Summit crater,1.0,2018.0,2.0,25.0,Historical Observations,2018.0,2.0,25.0,-2.005,-78.341,Ecuador,0 days
283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,Motoshiranesan,1.0,2018.0,1.0,23.0,Historical Observations,2018.0,1.0,23.0,36.618,138.528,Japan,0 days
351020,"Ruiz, Nevado del",22348,Uncertain Eruption,NA,NA,2017.0,12.0,18.0,Historical Observations,2017.0,12.0,18.0,4.892,-75.324,Colombia,0 days
272020,Kanlaon,22249,Confirmed Eruption,NA,2.0,2017.0,12.0,9.0,Historical Observations,2017.0,12.0,9.0,10.412,123.132,Philippines,0 days
264020,Agung,22241,Confirmed Eruption,Summit crater,3.0,2017.0,11.0,21.0,Historical Observations,2019.0,6.0,13.0,-8.343,115.508,Indonesia,569 days
261230,Dempo,22248,Confirmed Eruption,NA,1.0,2017.0,11.0,9.0,Historical Observations,2017.0,11.0,9.0,-4.016,103.121,Indonesia,0 days
256010,Tinakula,22239,Confirmed Eruption,NA,3.0,2017.0,10.0,21.0,Historical Observations,2017.0,10.0,26.0,-10.386,165.804,Solomon Islands,5 days
290240,Sarychev Peak,22308,Confirmed Eruption,NA,2.0,2017.0,10.0,12.0,Historical Observations,2017.0,11.0,13.0,48.092,153.2,Russia,32 days
282090,Kirishimayama,22242,Confirmed Eruption,Shinmoedake,2.0,2017.0,10.0,11.0,Historical Observations,2017.0,10.0,17.0,31.934,130.862,Japan,6 days
257030,Ambae,22240,Confirmed Eruption,NA,3.0,2017.0,9.0,6.0,Historical Observations,2018.0,10.0,30.0,-15.389,167.835,Vanuatu,419 days
344020,San Cristobal,22252,Confirmed Eruption,NA,3.0,2017.0,8.0,18.0,Historical Observations,2017.0,11.0,11.0,12.702,-87.004,Nicaragua,85 days
261170,Kerinci,22273,Confirmed Eruption,NA,1.0,2017.0,8.0,13.0,Historical Observations,2017.0,8.0,13.0,-1.697,101.264,Indonesia,0 days
352090,Sangay,22231,Confirmed Eruption,Summit crater,2.0,2017.0,7.0,20.0,Historical Observations,2017.0,10.0,26.0,-2.005,-78.341,Ecuador,98 days
264050,Sangeang Api,22228,Confirmed Eruption,Summit crater,2.0,2017.0,7.0,15.0,Historical Observations,2020.0,3.0,30.0,-8.2,119.07,Indonesia,989 days
233020,"Fournaise, Piton de la",22224,Confirmed Eruption,NA,0.0,2017.0,7.0,14.0,Historical Observations,2017.0,8.0,28.0,-21.244,55.708,France,45 days
273010,Bulusan,22229,Confirmed Eruption,NA,1.0,2017.0,6.0,5.0,Historical Observations,2017.0,6.0,5.0,12.769,124.056,Philippines,0 days
261140,Marapi,22226,Confirmed Eruption,Verbeek Crater,1.0,2017.0,6.0,4.0,Historical Observations,2017.0,6.0,4.0,-0.38,100.474,Indonesia,0 days
300130,Karymsky,22230,Confirmed Eruption,NA,3.0,2017.0,6.0,4.0,Historical Observations,2018.0,1.0,27.0,54.049,159.443,Russia,237 days
357090,Copahue,22232,Confirmed Eruption,Agrio Crater,1.0,2017.0,6.0,4.0,Historical Observations,2018.0,12.0,7.0,-37.856,-71.183,Chile-Argentina,551 days
345020,Rincon de la Vieja,22208,Confirmed Eruption,Crater lake,2.0,2017.0,5.0,23.0,Historical Observations,2018.0,3.0,15.0,10.83,-85.324,Costa Rica,296 days
263200,Dieng Volcanic Complex,22227,Confirmed Eruption,Sileri Crater,1.0,2017.0,4.0,30.0,Historical Observations,2017.0,7.0,2.0,-7.2,109.879,Indonesia,63 days
345040,Poas,22209,Confirmed Eruption,NA,1.0,2017.0,4.0,12.0,Historical Observations,2017.0,11.0,6.0,10.2,-84.233,Costa Rica,208 days
222120,"Lengai, Ol Doinyo",22284,Confirmed Eruption,North Crater,0.0,2017.0,4.0,9.0,Historical Observations,2020.0,3.0,24.0,-2.764,35.914,Tanzania,1080 days
360160,Kick 'em Jenny,22260,Confirmed Eruption,NA,0.0,2017.0,3.0,29.0,Hydrophonic,2017.0,3.0,29.0,12.3,-61.64,Grenada,0 days
282080,Aira,22203,Confirmed Eruption,Minamidake summit crater,1.0,2017.0,3.0,25.0,Historical Observations,2020.0,4.0,17.0,31.593,130.657,Japan,1119 days
262000,Krakatau,22188,Confirmed Eruption,Summit crater,1.0,2017.0,2.0,19.0,Historical Observations,2017.0,2.0,19.0,-6.102,105.423,Indonesia,0 days
344020,San Cristobal,22269,Confirmed Eruption,NA,1.0,2017.0,2.0,18.0,Historical Observations,2017.0,4.0,19.0,12.702,-87.004,Nicaragua,60 days
233020,"Fournaise, Piton de la",22184,Confirmed Eruption,NA,0.0,2017.0,1.0,31.0,Historical Observations,2017.0,2.0,27.0,-21.244,55.708,France,27 days
311300,Bogoslof,22182,Confirmed Eruption,NA,3.0,2016.0,12.0,20.0,Historical Observations,2017.0,8.0,30.0,53.93,-168.03,United States,253 days
223020,Nyamuragira,22202,Confirmed Eruption,NA,0.0,2016.0,11.0,27.0,Historical Observations,2017.0,5.0,2.0,-1.408,29.2,DR Congo,156 days
261170,Kerinci,22172,Confirmed Eruption,NA,1.0,2016.0,11.0,15.0,Historical Observations,2016.0,11.0,21.0,-1.697,101.264,Indonesia,6 days
354006,Sabancaya,22158,Confirmed Eruption,NA,3.0,2016.0,11.0,6.0,Historical Observations,2020.0,4.0,17.0,-15.787,-71.857,Peru,1258 days
290380,Ebeko,22176,Confirmed Eruption,NA,2.0,2016.0,10.0,20.0,Historical Observations,2020.0,4.0,17.0,50.686,156.014,Russia,1275 days
282110,Asosan,22174,Confirmed Eruption,NA,3.0,2016.0,10.0,7.0,Historical Observations,2016.0,11.0,12.0,32.884,131.104,Japan,36 days
300130,Karymsky,22178,Confirmed Eruption,NA,2.0,2016.0,10.0,5.0,Historical Observations,2016.0,10.0,8.0,54.049,159.443,Russia,3 days
222120,"Lengai, Ol Doinyo",22305,Confirmed Eruption,North Crater,NA,2016.0,9.0,21.0,Historical Observations,2016.0,10.0,13.0,-2.764,35.914,Tanzania,22 days
241040,Whakaari/White Island,22147,Confirmed Eruption,2012 lava dome,1.0,2016.0,9.0,13.0,Historical Observations,2016.0,9.0,13.0,-37.52,177.18,New Zealand,0 days
233020,"Fournaise, Piton de la",22145,Confirmed Eruption,NA,0.0,2016.0,9.0,11.0,Historical Observations,2016.0,9.0,18.0,-21.244,55.708,France,7 days
268060,Gamalama,22150,Confirmed Eruption,NA,1.0,2016.0,8.0,3.0,Historical Observations,2016.0,8.0,4.0,0.8,127.33,Indonesia,1 days
264030,Rinjani,22149,Confirmed Eruption,Barujari Crater,2.0,2016.0,8.0,1.0,Historical Observations,2016.0,9.0,27.0,-8.42,116.47,Indonesia,57 days
290360,Chikurachki,22153,Confirmed Eruption,NA,2.0,2016.0,7.0,27.0,Historical Observations,2016.0,8.0,18.0,50.324,155.461,Russia,22 days
273010,Bulusan,22151,Confirmed Eruption,SE vent,2.0,2016.0,6.0,10.0,Historical Observations,2017.0,3.0,2.0,12.769,124.056,Philippines,265 days
345040,Poas,22156,Confirmed Eruption,NA,1.0,2016.0,6.0,5.0,Historical Observations,2016.0,8.0,16.0,10.2,-84.233,Costa Rica,72 days
233020,"Fournaise, Piton de la",22144,Confirmed Eruption,Château Fort crater,0.0,2016.0,5.0,26.0,Historical Observations,2016.0,5.0,27.0,-21.244,55.708,France,1 days
241040,Whakaari/White Island,22121,Confirmed Eruption,NA,1.0,2016.0,4.0,27.0,Historical Observations,2016.0,4.0,27.0,-37.52,177.18,New Zealand,0 days
390080,Bristol Island,22133,Confirmed Eruption,NA,1.0,2016.0,4.0,24.0,Historical Observations,2016.0,7.0,19.0,-59.017,-26.533,United Kingdom,86 days
344020,San Cristobal,22130,Confirmed Eruption,NA,2.0,2016.0,4.0,22.0,Historical Observations,2016.0,4.0,22.0,12.702,-87.004,Nicaragua,0 days
252010,Langila,22123,Confirmed Eruption,NA,2.0,2016.0,4.0,2.0,Historical Observations,2018.0,10.0,30.0,-5.525,148.42,Papua New Guinea,941 days
261170,Kerinci,22125,Confirmed Eruption,NA,2.0,2016.0,3.0,31.0,Historical Observations,2016.0,6.0,9.0,-1.697,101.264,Indonesia,70 days
390130,Zavodovski,22159,Confirmed Eruption,NA,1.0,2016.0,3.0,30.0,Historical Observations,2016.0,5.0,16.0,-56.3,-27.57,United Kingdom,47 days
290360,Chikurachki,22127,Confirmed Eruption,NA,2.0,2016.0,3.0,29.0,Historical Observations,2016.0,3.0,31.0,50.324,155.461,Russia,2 days
312030,Pavlof,22129,Confirmed Eruption,NA,2.0,2016.0,3.0,27.0,Historical Observations,2016.0,7.0,30.0,55.417,-161.894,United States,125 days
352090,Sangay,22237,Confirmed Eruption,Summit crater,2.0,2016.0,3.0,25.0,Historical Observations,2016.0,11.0,17.0,-2.005,-78.341,Ecuador,237 days
273010,Bulusan,22114,Confirmed Eruption,NA,2.0,2016.0,2.0,22.0,Historical Observations,2016.0,2.0,22.0,12.769,124.056,Philippines,0 days
357070,"Chillan, Nevados de",22119,Confirmed Eruption,Nicanor crater,2.0,2016.0,1.0,8.0,Historical Observations,2020.0,4.0,17.0,-36.868,-71.378,Chile,1561 days
266030,Soputan,22105,Confirmed Eruption,NA,3.0,2016.0,1.0,2.0,Historical Observations,2016.0,2.0,7.0,1.112,124.737,Indonesia,36 days
344090,Momotombo,22107,Confirmed Eruption,NA,2.0,2015.0,12.0,1.0,Historical Observations,2016.0,4.0,7.0,12.423,-86.539,Nicaragua,128 days
272020,Kanlaon,22106,Confirmed Eruption,NA,2.0,2015.0,11.0,24.0,Historical Observations,2016.0,6.0,18.0,10.412,123.132,Philippines,207 days
261140,Marapi,22111,Confirmed Eruption,NA,1.0,2015.0,11.0,14.0,Historical Observations,2015.0,11.0,14.0,-0.38,100.474,Indonesia,0 days
263310,Tengger Caldera,22103,Confirmed Eruption,Bromo cone,2.0,2015.0,11.0,12.0,Historical Observations,2016.0,11.0,12.0,-7.942,112.95,Indonesia,366 days
355100,Lascar,22110,Confirmed Eruption,NA,2.0,2015.0,10.0,30.0,Historical Observations,2017.0,4.0,2.0,-23.37,-67.73,Chile,520 days
264030,Rinjani,22104,Confirmed Eruption,Barujari crater,2.0,2015.0,10.0,25.0,Historical Observations,2015.0,12.0,24.0,-8.42,116.47,Indonesia,60 days
344100,Masaya,22108,Confirmed Eruption,NA,1.0,2015.0,10.0,3.0,Historical Observations,2020.0,4.0,17.0,11.985,-86.165,Nicaragua,1658 days
290390,Alaid,21096,Confirmed Eruption,NA,1.0,2015.0,9.0,29.0,Historical Observations,2016.0,8.0,11.0,50.861,155.565,Russia,317 days
344040,Telica,21097,Confirmed Eruption,NA,2.0,2015.0,9.0,23.0,Historical Observations,2016.0,5.0,11.0,12.606,-86.84,Nicaragua,231 days
357090,Copahue,21098,Confirmed Eruption,Agrio Crater,2.0,2015.0,9.0,18.0,Historical Observations,2016.0,12.0,30.0,-37.856,-71.183,Chile-Argentina,469 days
266100,Lokon-Empung,21093,Confirmed Eruption,Tompaluan,1.0,2015.0,8.0,30.0,Historical Observations,2015.0,9.0,28.0,1.358,124.792,Indonesia,29 days
300260,Klyuchevskoy,21095,Confirmed Eruption,NA,3.0,2015.0,8.0,28.0,Historical Observations,2018.0,6.0,15.0,56.056,160.642,Russia,1022 days
352050,Cotopaxi,21088,Confirmed Eruption,NA,2.0,2015.0,8.0,14.0,Historical Observations,2016.0,1.0,24.0,-0.677,-78.436,Ecuador,163 days
360160,Kick 'em Jenny,21090,Confirmed Eruption,NA,0.0,2015.0,7.0,23.0,Historical Observations,2015.0,7.0,24.0,12.3,-61.64,Grenada,1 days
268060,Gamalama,21087,Confirmed Eruption,NA,2.0,2015.0,7.0,16.0,Historical Observations,2015.0,9.0,8.0,0.8,127.33,Indonesia,54 days
264270,Sirung,21086,Confirmed Eruption,NA,1.0,2015.0,7.0,7.0,Historical Observations,2015.0,7.0,8.0,-8.508,124.13,Indonesia,1 days
283020,Hakoneyama,21080,Confirmed Eruption,NA,1.0,2015.0,6.0,29.0,Historical Observations,2015.0,7.0,1.0,35.233,139.021,Japan,2 days
354006,Sabancaya,21089,Confirmed Eruption,NA,1.0,2015.0,6.0,28.0,Historical Observations,2015.0,7.0,9.0,-15.787,-71.857,Peru,11 days
263170,Cereme,21079,Uncertain Eruption,NA,NA,2015.0,6.0,24.0,Historical Observations,2015.0,6.0,24.0,-6.895,108.408,Indonesia,0 days
222120,"Lengai, Ol Doinyo",22304,Confirmed Eruption,North Crater,0.0,2015.0,6.0,20.0,Historical Observations,2015.0,8.0,24.0,-2.764,35.914,Tanzania,65 days
283110,Asamayama,21081,Confirmed Eruption,NA,1.0,2015.0,6.0,16.0,Historical Observations,2015.0,6.0,16.0,36.406,138.523,Japan,0 days
345020,Rincon de la Vieja,22132,Confirmed Eruption,Crater lake,1.0,2015.0,6.0,16.0,Historical Observations,2016.0,5.0,1.0,10.83,-85.324,Costa Rica,320 days
342110,Pacaya,22157,Confirmed Eruption,MacKenney Crater,1.0,2015.0,6.0,7.0,Historical Observations,2020.0,4.0,17.0,14.382,-90.601,Guatemala,1776 days
282050,Kuchinoerabujima,21073,Confirmed Eruption,NA,3.0,2015.0,5.0,29.0,Historical Observations,2015.0,6.0,19.0,30.443,130.217,Japan,21 days
266100,Lokon-Empung,21071,Confirmed Eruption,Tompaluan,1.0,2015.0,5.0,20.0,Historical Observations,2015.0,5.0,27.0,1.358,124.792,Indonesia,7 days
344040,Telica,21074,Confirmed Eruption,NA,2.0,2015.0,5.0,7.0,Historical Observations,2015.0,5.0,28.0,12.606,-86.84,Nicaragua,21 days
273010,Bulusan,21072,Confirmed Eruption,NA,2.0,2015.0,5.0,1.0,Historical Observations,2015.0,7.0,17.0,12.769,124.056,Philippines,77 days
331021,Axial Seamount,21092,Confirmed Eruption,NE flank,0.0,2015.0,4.0,23.0,Seismicity,2015.0,5.0,24.0,45.95,-130.0,Undersea Features,31 days
358020,Calbuco,21076,Confirmed Eruption,NA,4.0,2015.0,4.0,22.0,Historical Observations,2015.0,5.0,26.0,-41.33,-72.618,Chile,34 days
345070,Turrialba,20998,Confirmed Eruption,NA,2.0,2015.0,3.0,8.0,Historical Observations,2019.0,10.0,28.0,10.025,-83.767,Costa Rica,1695 days
344020,San Cristobal,22268,Confirmed Eruption,NA,2.0,2015.0,3.0,5.0,Historical Observations,2015.0,6.0,12.0,12.702,-87.004,Nicaragua,99 days
290360,Chikurachki,20990,Confirmed Eruption,NA,3.0,2015.0,2.0,16.0,Historical Observations,2015.0,2.0,18.0,50.324,155.461,Russia,2 days
233020,"Fournaise, Piton de la",20982,Confirmed Eruption,NA,0.0,2015.0,2.0,4.0,Historical Observations,2015.0,10.0,31.0,-21.244,55.708,France,269 days
263340,Raung,21070,Confirmed Eruption,NA,3.0,2015.0,2.0,1.0,Historical Observations,2015.0,8.0,22.0,-8.119,114.056,Indonesia,202 days
352090,Sangay,22236,Confirmed Eruption,Summit crater,2.0,2015.0,1.0,19.0,Historical Observations,2015.0,4.0,7.0,-2.005,-78.341,Ecuador,78 days
266030,Soputan,20988,Confirmed Eruption,NA,3.0,2015.0,1.0,6.0,Historical Observations,2015.0,3.0,7.0,1.112,124.737,Indonesia,60 days
300260,Klyuchevskoy,20992,Confirmed Eruption,NA,2.0,2015.0,1.0,1.0,Historical Observations,2015.0,5.0,10.0,56.056,160.642,Russia,129 days
268060,Gamalama,20989,Confirmed Eruption,NA,2.0,2014.0,12.0,18.0,Historical Observations,2014.0,12.0,25.0,0.8,127.33,Indonesia,7 days
357120,Villarrica,20996,Confirmed Eruption,NA,1.0,2014.0,12.0,2.0,Historical Observations,2020.0,4.0,13.0,-39.42,-71.93,Chile,1959 days
384010,Fogo,20977,Confirmed Eruption,WSW base of Pico,3.0,2014.0,11.0,23.0,Historical Observations,2015.0,2.0,8.0,14.95,-24.35,Cape Verde,77 days
351020,"Ruiz, Nevado del",20995,Confirmed Eruption,NA,2.0,2014.0,11.0,18.0,Historical Observations,2017.0,5.0,29.0,4.892,-75.324,Colombia,923 days
390090,Saunders,22271,Confirmed Eruption,Summit crater,1.0,2014.0,11.0,12.0,Historical Observations,2020.0,1.0,28.0,-57.8,-26.483,United Kingdom,1903 days
312030,Pavlof,20975,Confirmed Eruption,NA,1.0,2014.0,11.0,12.0,Historical Observations,2014.0,11.0,15.0,55.417,-161.894,United States,3 days
345070,Turrialba,20974,Confirmed Eruption,Central Crater,2.0,2014.0,10.0,29.0,Historical Observations,2014.0,12.0,8.0,10.025,-83.767,Costa Rica,40 days
264180,Lewotobi,20973,Uncertain Eruption,NA,2.0,2014.0,10.0,6.0,Historical Observations,2014.0,10.0,6.0,-8.542,122.775,Indonesia,0 days
283040,Ontakesan,20964,Confirmed Eruption,Summit crater,3.0,2014.0,9.0,27.0,Historical Observations,2014.0,10.0,14.0,35.893,137.48,Japan,17 days
345020,Rincon de la Vieja,20961,Confirmed Eruption,Crater lake,1.0,2014.0,9.0,17.0,Historical Observations,2014.0,10.0,24.0,10.83,-85.324,Costa Rica,37 days
282110,Asosan,20960,Confirmed Eruption,Naka-dake,2.0,2014.0,8.0,30.0,Historical Observations,2016.0,5.0,1.0,32.884,131.104,Japan,610 days
373030,Bardarbunga,20955,Confirmed Eruption,Holuhraun,0.0,2014.0,8.0,29.0,Historical Observations,2015.0,2.0,27.0,64.633,-17.516,Iceland,182 days
342110,Pacaya,22222,Confirmed Eruption,MacKenney Crater,1.0,2014.0,8.0,25.0,Historical Observations,2015.0,2.0,17.0,14.382,-90.601,Guatemala,176 days
354006,Sabancaya,20953,Uncertain Eruption,NA,1.0,2014.0,8.0,5.0,Historical Observations,2014.0,12.0,27.0,-15.787,-71.857,Peru,144 days
282050,Kuchinoerabujima,20952,Confirmed Eruption,Shindake,1.0,2014.0,8.0,3.0,Historical Observations,2014.0,8.0,3.0,30.443,130.217,Japan,0 days
344020,San Cristobal,22267,Confirmed Eruption,NA,2.0,2014.0,7.0,20.0,Historical Observations,2014.0,10.0,1.0,12.702,-87.004,Nicaragua,73 days
252140,Rabaul,20957,Confirmed Eruption,Tavurvur,3.0,2014.0,7.0,7.0,Historical Observations,2014.0,9.0,18.0,-4.271,152.203,Papua New Guinea,73 days
357090,Copahue,20954,Confirmed Eruption,Agrio Crater,1.0,2014.0,7.0,4.0,Historical Observations,2014.0,12.0,2.0,-37.856,-71.183,Chile-Argentina,151 days
251020,Manam,20956,Confirmed Eruption,NA,2.0,2014.0,6.0,29.0,Historical Observations,2020.0,4.0,9.0,-4.08,145.037,Papua New Guinea,2111 days
233020,"Fournaise, Piton de la",20919,Confirmed Eruption,Enclos Fouqué,0.0,2014.0,6.0,21.0,Historical Observations,2014.0,6.0,21.0,-21.244,55.708,France,0 days
312030,Pavlof,20909,Confirmed Eruption,NE flank,3.0,2014.0,5.0,31.0,Historical Observations,2014.0,6.0,2.0,55.417,-161.894,United States,2 days
264050,Sangeang Api,20911,Confirmed Eruption,Summit crater,3.0,2014.0,5.0,30.0,Historical Observations,2015.0,11.0,5.0,-8.2,119.07,Indonesia,524 days
