"V1" "V2"
7.954992 2.117339
6.970315 6.341702
-1.697652 -3.417708
-0.233938 -0.038947
-1.282678 -2.622176
7.525085 2.467354
-3.70027 -0.594275
-0.339259 -0.186141
-3.747643 -0.432156
7.162837 6.966331
7.182066 5.95254
-4.351915 -0.363278
7.275742 5.705378
-0.086445 0.750429
0.441722 -0.169724
8.115463 3.265303
7.264163 6.3923
-3.396293 -0.481573
-0.658998 -3.254821
6.437538 5.214297
6.675128 6.201164
7.575489 6.107082
-0.053301 -0.180375
8.739366 2.745887
8.44043 2.79143
-0.391805 0.121396
7.386234 2.394443
-1.395515 -2.719675
7.631494 3.001831
-0.622244 -0.297392
-1.503188 -3.06749
-3.219973 -0.413714
8.480496 2.437701
-0.22355 0.218545
8.212477 2.03865
-2.087717 -2.720919
-0.397088 -3.593708
-0.908806 -3.221487
7.941146 2.383027
7.492815 1.828082
-1.953499 -2.377181
7.518022 6.301089
6.812308 5.668885
-3.80812 -0.478309
-0.350394 -2.179901
7.825764 3.191799
0.227002 0.251607
7.024079 6.245953
-0.307695 0.139183
6.813953 6.202178
-3.936882 -1.02018
8.375212 2.005918
8.517843 2.22728
7.003341 5.872639
-3.996704 0.589654
0.994723 0.334586
-1.05195 -3.57319
-3.547523 -1.121789
6.580458 5.774423
-0.068664 0.551886
7.261684 1.641982
0.091899 -0.230248
-0.156785 0.797836
7.417606 5.968476
-0.976631 -2.410688
-0.220323 -3.659213
0.563786 0.171897
7.799834 5.702147
-3.931721 0.088784
-3.539221 -0.195284
-0.829019 0.659005
7.316161 5.948761
8.192682 2.815485
-0.009252 -0.10062
8.171896 2.639322
8.462462 2.971547
-5.110685 0.213757
-0.189355 -3.605062
-3.38843 -0.052117
-0.709981 -1.666069
6.55928 6.585182
6.835872 6.670112
6.688094 5.781163
7.819206 5.910785
-3.019849 0.152048
-0.217902 -2.829227
-3.079486 -0.212007
-0.560632 -3.393186
-3.624213 0.12059
7.983278 6.679897
-2.549552 -3.288658
-1.121317 -2.804732
6.408331 5.397485
6.880511 5.601801
-3.567508 -0.543936
6.508926 6.570084
-3.37006 0.051432
7.110717 6.261532
-1.081587 -2.533216
-0.468636 -0.147337
-2.650191 -0.312233
7.093233 2.333637
-0.929782 -2.362675
-0.475775 -0.181685
7.360297 2.306192
7.724831 6.305836
0.649741 -0.587888
-3.758082 0.167366
7.974421 2.722589
8.694072 2.690601
6.540764 6.265183
0.846451 0.553129
7.942326 1.938912
0.319888 -0.248978
6.468983 5.928274
-3.957918 -0.330219
-0.331571 -2.706689
1.029477 -0.546349
7.157968 1.624432
-0.490921 -2.883391
0.841342 -0.010706
6.635769 5.965791
-3.238197 -0.170855
-3.71066 -0.200225
7.974021 2.592924
-0.032825 -0.147139
7.827367 2.436288
1.020869 1.164921
8.402058 2.178143
8.29489 2.698031
7.315664 4.815327
7.599348 2.299933
-1.46017 -3.306358
-2.833722 0.106921
7.978438 2.996718
-1.393482 -3.358551
8.086751 3.144753
7.933153 2.800169
7.678529 2.068515
-0.001665 0.069094
0.693426 0.378943
7.897406 1.582085
-3.39806 -0.236008
-1.323691 -3.480018
-4.494658 -0.121617
-3.478273 0.795122
7.702731 6.206207
7.475713 5.794369
-1.163856 -3.175134
7.202844 6.073262
6.630209 6.726323
-4.047312 -0.878209
0.276031 -2.888075
-2.829224 -0.070292
-0.257702 -1.87398
8.091326 2.4783
-1.921998 -2.427817
-3.799767 -0.589956
-0.12627 -0.220259
-3.338977 0.363696
7.323358 6.142895
7.757678 5.271245
-0.317451 0.010158
7.705092 5.552895
7.184674 5.199161
-0.417604 -2.58251
-0.32026 -0.966659
6.52517 5.655661
-3.504731 0.383241
6.29597 5.478465
7.237694 5.619918
8.188465 2.755146
-0.387771 0.195884
-4.07001 -0.180095
6.602712 6.422807
7.97713 2.085168
0.115385 0.330046
-3.382649 0.237718
-3.739726 -0.223997
-3.82615 0.066397
7.859242 2.934074
7.856104 6.880188
7.729987 2.00671
-1.345507 -3.032015
-0.19757 0.334182
7.56926 5.934108
-0.900309 -3.208264
-0.055407 0.162053
-1.699537 -2.068045
0.158854 0.469253
-0.838844 -2.577364
-0.60528 -0.367848
6.583862 6.382032
8.201508 2.14884
6.623238 6.937177
0.104471 -3.084496
0.385851 -0.589007
6.034046 5.91529
8.32729 2.488647
-3.601772 -0.586358
7.079248 4.790002
0.052233 0.863553
0.094668 -3.620406
-3.261339 -0.30319
8.096963 2.068097
1.103216 -0.00525
-3.692093 0.378345
7.88308 2.019414
6.912557 5.610114
7.771122 2.770547
7.831243 2.750741
7.417005 2.486938
-3.816184 -0.495781
8.263354 3.077965
-0.337614 0.362154
7.154862 2.022779
8.59617 2.348401
-2.425895 0.249027
8.160601 3.080604
0.209917 0.533173
-3.476713 0.377856
7.502679 2.636218
0.837956 0.453225
7.760077 6.572016
-0.327569 0.353045
8.262758 2.669785
-3.366801 0.151235
-3.526784 0.062036
7.525909 3.350379
-0.311664 -3.479869
0.044139 -0.200389
8.518332 2.791978
7.858596 5.715389
7.545038 2.318516
6.962367 6.711424
0.225503 0.415333
-0.640452 -3.496677
-1.654072 -2.694935
8.0948 2.132787
-3.426961 0.136083
6.197082 6.485911
-0.633456 0.025781
-3.439157 -0.151959
7.145599 2.211061
7.83718 1.787557
0.002075 0.21155
-1.32106 -3.204607
-0.490394 -3.113336
8.568491 3.015545
-2.036852 -3.435941
-1.537431 -3.278972
-0.517176 1.192078
7.803162 2.164282
0.23545 -0.618641
-3.453556 0.321384
-0.180887 -0.214551
8.136765 2.472403
-2.861809 0.417666
7.193818 2.091451
0.044826 0.146381
-3.714889 0.223227
-1.108288 -2.978793
-3.724442 0.354539
-3.148336 -0.164276
-0.048913 -0.166971
-3.243048 0.395566
7.647603 1.952438
-3.976426 0.155457
7.307511 5.574915
-1.181196 -3.608206
-4.029 0.67971
7.726995 5.884641
7.210735 6.097782
-2.174269 -0.287282
7.596837 4.94872
-1.365036 -3.079784
0.770413 -0.141022
-3.562586 -0.624941
8.079056 3.063544
-3.268304 0.190398
-3.069389 -0.154417
-3.972162 0.261529
6.462934 5.572883
-4.041452 0.089477
-0.610339 0.012867
-0.761647 -3.379778
-1.607258 -3.476439
7.937745 2.365929
-3.272126 -0.039317
-3.640108 0.596529
6.520893 7.054527
8.094548 6.345597
6.726949 5.564933
-0.354039 0.124917
0.105618 0.951027
8.303086 2.878126
7.255647 5.627241
0.077191 0.562409
-0.03953 -0.165806
7.260237 5.327794
0.079222 -0.141198
7.432032 2.764814
8.686465 2.586241
-4.236264 0.715713
-2.998759 0.504551
8.060889 6.754881
5.789973 5.520458
0.140176 -0.057009
0.229748 -0.107463
-1.604651 -2.678385
7.355774 5.331135
6.888338 6.21306
-0.196273 -2.672917
8.43347 2.526108
-3.774376 0.336603
-0.103762 -2.650766
6.50604 6.313721
0.001008 -0.281213
6.386859 6.125076
7.591136 2.400843
-1.388483 -3.148708
6.671348 6.038926
-0.844855 -3.044167
0.295827 0.023891
-0.474653 -3.379912
-0.326436 -0.436677
6.755732 2.469575
7.384757 5.503711
0.88725 0.963516
8.388237 1.788512
7.971282 2.329706
-0.085707 0.022263
-3.887504 0.050308
-3.883817 0.274486
7.680305 2.08916
-3.741315 0.1104
-3.369363 0.175728
6.566606 6.569512
-3.821239 -0.758221
7.606849 3.3891
-2.510918 -0.321313
-2.771622 -0.06303
-3.701662 -0.610834
0.012392 0.090149
-1.072922 -2.75148
-4.205826 0.002934
-0.367335 -2.64369
7.259058 2.584717
-1.095661 0.418834
-0.640115 -3.615647
-3.65254 -0.243221
-1.806968 -3.548742
-2.942109 -1.056423
-3.851939 -0.142344
-1.777016 -2.947716
-1.986981 0.076169
0.715461 -0.454365
7.650288 2.328227
-3.27838 0.340398
7.435559 2.034245
7.037775 6.077808
7.125521 5.127228
6.552262 6.153902
-0.247245 -2.003433
-1.62646 -2.827469
-0.087452 0.888321
-2.26549 0.444941
-0.882159 -3.78172
-0.616567 -0.589659
-1.274546 -2.581167
7.196047 5.728093
-4.055441 -0.451399
-2.971204 0.253885
-2.156941 -3.401627
-3.952524 0.264749
-1.291895 -3.178685
6.952393 6.272446
7.216084 5.597758
0.861986 0.496372
-0.208175 0.744557
-4.004099 -0.353269
-3.639644 -0.761683
-1.704591 -2.699229
0.227794 0.263954
1.018145 -0.737076
0.28798 0.781108
-0.154596 -3.810087
6.786976 6.348477
0.230653 -0.222327
-2.910195 0.048436
5.781084 4.575819
-1.060917 -0.485309
-2.935934 0.945275
0.366659 -0.057351
-0.807962 -3.644271
7.445836 1.258416
8.486576 3.14872
-1.007156 -3.29717
-3.089648 0.788834
-0.78959 -2.842486
-4.499122 -0.46925
8.422016 2.035444
-0.527807 -3.033363
7.656561 6.871894
0.466793 0.197004
-0.091438 -0.157391
7.723671 1.879828
6.435581 5.13125
6.801916 5.721741
6.891846 6.344794
-3.242231 0.592561
-0.140099 -0.820181
6.533896 6.025723
-0.195171 0.195057
-3.813421 0.559435
7.308554 5.825471
-1.534657 -3.60695
7.715241 5.913756
-3.252629 -0.338232
6.969763 5.424568
0.485401 0.634758
0.522498 -0.280348
-0.047562 -0.302801
-0.965287 -2.970251
0.212294 -0.771951
-0.922407 -2.530678
-3.533181 0.190647
-1.301004 -2.923294
6.984224 5.519556
-3.27547 0.581326
6.823515 5.489048
-0.30846 -0.33098
-2.971084 0.43052
-3.757896 -1.137453
7.497593 3.419127
-0.475366 -0.552696
-3.232133 -0.044898
-0.169707 -0.483526
7.720991 5.451228
8.418494 1.849795
6.817407 5.668646
-1.100297 -3.705975
-1.000277 -2.498086
7.900497 2.627526
6.822689 6.038297
-0.985576 -2.734971
-4.343896 -0.180916
-3.180127 0.990139
-0.314095 -3.520552
0.101115 0.09286
8.363865 2.3547
7.774898 2.473116
7.150048 5.686777
-1.514282 -3.07744
7.632056 2.757781
0.613222 0.196212
-7.6e-05 0.535906
7.777652 3.611625
-0.929797 -4.522009
8.070794 2.869028
8.001609 1.749434
-0.243655 -3.060731
-0.621447 -2.510931
6.105189 5.317606
6.544346 6.011864
8.84125 2.411524
-0.591194 -3.094183
-0.670466 -2.920537
-0.812956 -3.142927
6.180669 6.674868
-3.454018 -0.302974
-0.647006 -3.552171
-0.644655 -2.873088
-0.518829 -3.457401
-3.523116 0.145194
8.174691 2.35256
-0.269336 0.158036
8.268553 3.504319
-0.263561 0.581886
6.51821 6.254532
7.485855 6.546093
6.831146 5.590564
-3.511176 -0.336485
-3.186393 0.122627
7.904707 2.288308
-2.905704 0.325073
8.316744 2.605399
-0.197955 -0.362453
-0.500962 0.029723
6.216713 6.040069
7.495338 4.989489
-3.256799 0.1452
6.624487 6.780547
0.153516 -0.470435
-3.996035 -1.205071
-1.935852 -2.833614
6.526917 6.386332
-0.405845 -0.538232
8.766251 2.796196
8.297771 1.848698
-1.735994 -2.857588
7.634692 1.981018
7.442865 2.503282
7.478036 6.234913
7.664225 5.176447
8.097032 1.444001
-0.283294 -3.672951
7.692615 2.953991
6.630364 6.066714
8.143144 2.71071
-0.499989 -0.704664
6.729997 5.467681
-4.265855 0.372926
9.076231 2.955935
-3.635149 -0.731131
-2.867939 -0.979089
-4.285556 0.664284
-3.261979 -0.015998
0.276399 0.694604
0.148957 -0.113443
-3.403446 -0.454998
-1.262419 -2.889316
8.23701 1.310754
-0.460636 -0.596257
-3.812593 -0.451861
-1.682108 -3.019901
7.654928 2.101784
-3.776572 0.348103
-0.897815 -3.752665
6.551577 6.098185
0.038107 -0.929745
8.410862 2.256654
0.298274 0.826564
7.697455 2.048555
8.119962 2.585344
8.388853 3.462471
6.868734 6.100771
0.093658 0.627441
8.453983 2.26222
-0.032001 0.214697
-0.406657 -3.386585
0.134711 -0.836282
0.593021 -0.25995
-0.692156 -2.794906
-1.375246 -3.042951
8.267562 2.594723
6.34324 6.206949
-3.272159 0.269153
-3.827445 -0.089046
8.142296 3.106409
-1.993841 -3.389515
7.53286 3.053473
6.766235 7.061077
-2.982921 -0.36958
-3.902888 -0.396023
7.843113 2.292133
-3.664129 -0.287897
0.640345 -1.377884
-0.861829 0.675163
-0.837405 -2.815322
0.233244 -0.618626
7.101257 6.08861
7.408318 6.951601
8.234251 2.59026
7.57635 6.502206
-0.598646 0.853871
-0.273535 -2.967844
-2.680716 0.712445
8.184723 2.547909
-3.464815 -0.571109
-3.698566 -0.06631
-0.874091 -2.669378
8.432362 3.437601
7.884202 1.391398
-0.825258 -4.293408
-0.631835 -0.047986
0.004577 -0.37802
0.005293 -0.291872
-0.869895 -2.737556
7.827906 1.411967
7.933802 2.708863
-3.394264 0.09853
-2.926793 -0.643381
-4.064375 -0.945348
0.493388 0.968796
7.905531 5.646539
-1.22379 -2.881456
8.013727 5.626421
-0.759744 -2.379476
8.182647 3.223353
0.674562 -0.391675
7.470531 2.507985
-3.342566 -0.345334
0.551912 -0.128639
-0.716805 -3.175825
6.690698 6.974221
-3.170296 0.275269
-0.696735 -3.348776
7.922892 5.999628
7.089451 6.273053
-1.479921 -3.117346
-0.552865 -3.226021
-1.049275 -3.440139
-0.132341 -0.032685
6.081054 6.160812
-1.432812 -2.452099
-4.403188 1.347446
-1.546194 -3.258964
-4.112482 -0.47066
-3.874022 -0.00736
-4.115861 0.406677
-2.948166 0.224264
7.848212 2.669925
7.936626 5.003621
-2.048527 -3.2903
7.064761 6.198672
7.074642 5.955657
-1.181299 -3.126391
-1.049223 -3.68887
-3.115007 -0.632112
-3.607096 -0.148733
-0.158203 0.58592
-1.015521 -2.284377
-2.589775 0.113885
8.142712 2.443295
7.225178 5.888472
